#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
13100,-360280.4242866698,300.7646407121998,226.03459452497594
13200,-360146.1586616698,299.6206477024527,226.03459452497594
13300,-361414.6274116698,303.94839561434424,226.03459452497594
13400,-361544.697451313,301.6592528837508,226.1767986057396
13500,-360959.384951313,297.7816349298309,226.1767986057396
13600,-361466.54152995604,303.0207561349673,225.41552189148976
13700,-361250.52590495604,300.10728970028066,225.41552189148976
13800,-360759.8656145937,298.329040316759,224.9615814226126
13900,-362250.44842400705,301.4297594454658,224.75976025407562
14000,-361342.9792966137,300.2077127778096,224.74036327275826
14100,-361309.4324216137,299.7275735020705,224.74036327275826
14200,-361401.166849711,302.17528266865526,224.63668379136277
14300,-361273.26495318534,301.5552638636926,224.7689287511316
14400,-361165.7440343944,300.5124674581579,225.1095133781975
14500,-361852.0955968944,299.38295205712916,225.1095133781975
14600,-362168.0938466124,299.35682252147166,225.3702102972151
14700,-361926.92664171243,295.1977218024855,225.33805746988403
14800,-362261.82552277413,300.3336135292929,225.23051622812045
14900,-362084.25521027413,301.69806259943925,225.23051622812045
15000,-362653.16146027413,301.37038020253044,225.23051622812045
15100,-361693.09896027413,299.98539988311,225.23051622812045
15200,-361630.06771027413,299.1555169692075,225.23051622812045
15300,-362365.5260161343,301.4801741034855,225.31772626512964
15400,-361583.98093130067,298.2452002095013,224.76498948578563
15500,-361961.6047795769,300.31982328775325,224.4360316774837
15600,-362383.6775855345,299.35853246942077,224.35490518247627
15700,-362501.6713083915,300.45462954091215,224.46133869971132
15800,-362309.93747338676,298.9134820557583,225.92351482283735
15900,-361432.7898606588,299.3619531519627,226.0053158365024
16000,-361676.8819668719,295.6930928089404,225.79595813551836
16100,-362852.58420608914,300.3736612210143,225.05040710083992
16200,-362035.2094881311,299.7296864477314,224.54016283713074
16300,-362275.04247191316,301.22541618171414,225.35453994439763
16400,-361429.47690937715,298.3415804745884,225.35713848032066
16500,-361175.50511900615,298.5596045593526,225.8758574030304
16600,-361829.1312355953,302.29779788379085,226.65103673015392
16700,-361861.4202980953,299.4740829245947,226.65103673015392
16800,-361194.220424233,298.61451595549954,225.89489337121776
16900,-362351.9576614462,299.73050030199215,225.35112429251404
17000,-362288.1913745417,301.33586589522406,225.58283557260415
17100,-361353.63053868315,297.3497285165747,225.92164524777928
17200,-361619.4157934629,298.3678907648505,225.74108230798964
17300,-361742.4001684629,297.52021915277703,225.74108230798964
17400,-362625.0703820272,304.07410414527305,225.85691986371538
17500,-362289.0625695272,299.5642428833521,225.85691986371538
17600,-361898.68274326716,298.59957973636523,225.941646483964
